timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent
,,,,,,50448,77,,,,
2023-09-01T16:28:00.000Z,,,,sedentary,,,,2,,,
,,,,,,50508,73,,,,
2023-09-01T16:29:00.000Z,,,,sedentary,,,,0,,,
,,,,,,50568,70,,,,
,,,,,,50628,75,,,,
,,,,,,50688,69,,,,
,,,,,,50808,71,,,,
,,,,,,50928,75,,,,
,,,,,,50988,76,,,,
,,,,,,51048,71,,,,
,,,,,,51108,73,,,,
,,,,,,51168,64,,,,
,,,,,,51228,63,,,,
2023-09-01T16:41:00.000Z,,,,sedentary,,,,4,,,
,,,,,,51288,71,,,,
2023-09-01T16:42:00.000Z,,,,sedentary,,,,0,,,
,,,,,,51348,70,,,,
,,,,,,51408,63,,,,
,,,,,,51468,68,,,,
,,,,,,51588,72,,,,
,,,,,,51648,73,,,,
2023-09-01T16:48:00.000Z,,,,sedentary,,,,3,,,
